Evidence_ID,Control_ID,Control_Type,Domain_Group,Control_Question,Evidence_Text
E001,C1,Access Management,Identity & Access,Is multi-factor authentication required for user login?,"Yes, for our main systems we use MFA. Employees log in with their password and then confirm through a verification code or push notification from the authentication app. It is not something users can skip for normal access, so it is more than just a basic password-only login."
E002,C2,Access Management,Identity & Access,Are user access reviews performed for terminated employees?,"We do have a quarterly review where managers look over user access and check whether anyone should be removed. Terminations are usually handled through HR and IT, and accounts are disabled when someone leaves. The process is not fancy, but there is an access review and terminated employee access is supposed to be revoked."
E003,C3,Access Management,Identity & Access,Are privileged accounts restricted to authorized personnel?,"This is honestly one of our weaker areas. We have admin accounts, but some of them are shared between team members because it is easier during support issues. I would not say privileged access is fully restricted to only authorized personnel, and we do not have strong role-based access controls for every admin account yet."
E004,C4,Access Management,Identity & Access,Are password policies enforced for complexity expiration and reuse restrictions?,"We have a password policy that requires password complexity, a minimum password length, and special characters. The system also has password rules around reuse restriction, so people cannot keep cycling back to the same old password. Users complain about it sometimes, but the policy is enforced."
E005,C5,Change Management,Change Control,Is user acceptance testing completed before deployment?,"For most releases, user acceptance testing is completed before we deploy. The business user signs off after reviewing the change, QA testing is documented, and test results are attached to the change ticket. We usually do not move forward until the testing is completed and the major bugs are cleared."
E006,C6,Change Management,Change Control,Are production changes approved before deployment?,"This is inconsistent. Some changes have a change request and documented approval, but there have also been times where a direct production change was made quickly because someone said it was urgent. In those cases, there was no approval before deployment and the paperwork was added later, if at all."
E007,C7,Physical Security,Infrastructure Security,Are physical security controls used for restricted areas?,"The office uses badge access and there are cameras in the main areas, but I am not completely sure about the data center area."
E008,C8,Change Management,Change Control,Is segregation of duties enforced for approving production changes?,"We try to separate duties, but in smaller projects the same person sometimes develops the change and approves their own change because there is no one else available. There is not always independent approval, so I would say segregation of duties is not consistently enforced."
E009,C9,Operations,IT Operations,Are automated backups performed for financial databases?,"Yes, automated backup jobs run every night for the financial databases. We have scheduled backup processing, backup retention, and a recovery plan. IT also reviews backup reports, and restore testing is done periodically to make sure the data backup process actually works."
E010,C10,Operations,IT Operations,Are job scheduling logs reviewed for automated batch processing?,"We have scheduled jobs and batch processing that run overnight, but the log review is not as formal as it should be. Someone usually checks if there is a problem, but I cannot say there is consistent job monitoring or that job logs are reviewed every day."
